RUTU	year	Nsegment	NWD	time	AT	windS	TS	FEDR	nGulls	tending	nOM	nOtherP	dog	raptor	plane	activities	day	NWD	Bulk	Dune	Phrag	Marsh	Creek	Woodland	FT	LT	RT	DC1	DC2	DC3	DC4	DC5	DC6	DC7	DC8
0	2016	74	1	-0.04713774519022599	1.2150076998681023	-0.26714188772974884	-0.13667712288162992	0.04341605777873379	-0.1252050611811307	2	0.5077162153644604	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	75	1	-0.04713774519022599	1.2150076998681023	-0.26714188772974884	-0.13667712288162992	0.04341605777873379	-0.1252050611811307	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	76	1	-0.04713774519022599	1.2150076998681023	-0.26714188772974884	-0.13667712288162992	0.04341605777873379	-0.1252050611811307	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	77	1	-0.04713774519022599	1.2150076998681023	-0.26714188772974884	-0.13667712288162992	0.04341605777873379	-0.1252050611811307	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	78	1	-0.04713774519022599	1.2150076998681023	-0.26714188772974884	-0.13667712288162992	0.04341605777873379	-0.1252050611811307	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	79	1	-0.04713774519022599	1.2150076998681023	-0.26714188772974884	-0.13667712288162992	0.04341605777873379	-0.1252050611811307	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	80	1	-0.04713774519022599	1.2150076998681023	-0.26714188772974884	-0.13667712288162992	0.04341605777873379	-0.1252050611811307	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	81	1	-0.04713774519022599	1.2150076998681023	-0.26714188772974884	-0.13667712288162992	0.04341605777873379	-0.1252050611811307	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	82	1	-0.04713774519022599	1.2150076998681023	-0.26714188772974884	-0.13667712288162992	0.04341605777873379	-0.1252050611811307	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1
0	2016	83	1	-0.04713774519022599	1.2150076998681023	-0.26714188772974884	-0.13667712288162992	0.04341605777873379	-0.1252050611811307	1	-0.1196355803687303	-0.07873014700259721	-0.02074471219750533	-0.06247396352467208	-0.0550415644794185	-0.10226547825078015	0.7327450576008679	-0.7705957387006923	1	1	1	1	2	1	1	2	1	2	1	1	1	1	1	1	1
